miRNA_ID	TCGA-XU-A92T-01A	TCGA-ZB-A96M-01A	TCGA-ZB-A96A-01A	TCGA-X7-A8M3-01A	TCGA-XM-A8RH-01A	TCGA-4X-A9FB-01A	TCGA-ZC-AAAF-01A	TCGA-XU-AAY1-01A	TCGA-X7-A8DF-01A	TCGA-4V-A9QN-01A	TCGA-X7-A8DI-01A	TCGA-5K-AAAP-01A	TCGA-ZB-A961-01A	TCGA-4X-A9FD-01A	TCGA-5U-AB0E-01A	TCGA-XU-A92R-01A	TCGA-XM-A8RB-01A	TCGA-XU-A92U-01A	TCGA-ZB-A96V-01A	TCGA-ZB-A96Q-01A	TCGA-XM-A8RE-01A	TCGA-XM-A8R9-01A	TCGA-3S-A8YW-01A	TCGA-5U-AB0D-01A	TCGA-XU-A92Z-01A	TCGA-ZB-A96L-01A	TCGA-X7-A8DE-01A	TCGA-X7-A8D9-01A	TCGA-5V-A9RR-01A	TCGA-4V-A9QJ-01A	TCGA-3T-AA9L-01A	TCGA-X7-A8DC-01A	TCGA-XU-A92W-01A	TCGA-X7-A8M1-01A	TCGA-ZL-A9V6-01A	TCGA-XM-A8RC-01A	TCGA-4V-A9QT-01A	TCGA-XU-A932-01A	TCGA-XU-A92Y-01A	TCGA-XM-A8RI-01A	TCGA-ZB-A96H-01A	TCGA-XM-A8RD-01A	TCGA-XU-A92O-01A	TCGA-XU-A92Q-01A	TCGA-X7-A8M8-01A	TCGA-XU-AAXZ-01A	TCGA-X7-A8DB-01A	TCGA-ZC-AAAA-01A	TCGA-X7-A8D7-11A	TCGA-XU-AAXX-01A	TCGA-4X-A9FC-01A	TCGA-ZB-A964-01A	TCGA-ZB-A96E-01A	TCGA-4X-A9FA-01A	TCGA-YT-A95D-01A	TCGA-ZB-A96G-01A	TCGA-4V-A9QQ-01A	TCGA-X7-A8DJ-01A	TCGA-3G-AB0Q-01A	TCGA-ZB-A96P-01A	TCGA-4V-A9QS-01A	TCGA-XH-A853-01A	TCGA-4X-A9F9-01A	TCGA-YT-A95E-01A	TCGA-ZB-A969-01A	TCGA-4V-A9QW-01A	TCGA-ZB-A96I-01A	TCGA-ZB-A96C-01A	TCGA-4V-A9QR-01A	TCGA-YT-A95G-01A	TCGA-3S-AAYX-01A	TCGA-YT-A95F-01A	TCGA-XU-AAY0-01A	TCGA-XM-A8RG-01A	TCGA-XM-AAZ1-01A	TCGA-X7-A8M4-01A	TCGA-ZB-A966-01A	TCGA-YT-A95H-01A	TCGA-3G-AB14-01A	TCGA-XU-A92V-01A	TCGA-XM-A8RF-01A	TCGA-3G-AB0T-01A	TCGA-X7-A8D6-01A	TCGA-ZB-A96O-01A	TCGA-XU-AAXY-01A	TCGA-XM-AAZ2-01A	TCGA-ZB-A96F-01A	TCGA-X7-A8DG-01A	TCGA-X7-A8M5-01A	TCGA-X7-A8M6-01A	TCGA-ZC-AAAH-01A	TCGA-ZB-A965-01A	TCGA-ZC-AAA7-01A	TCGA-X7-A8M0-01A	TCGA-ZB-A96D-01A	TCGA-X7-A8D7-01A	TCGA-ZB-A962-01A	TCGA-XU-AAXV-01A	TCGA-ZB-A96B-01A	TCGA-ZB-A96K-01A	TCGA-4V-A9QX-01A	TCGA-X7-A8M7-01A	TCGA-4V-A9QL-01A	TCGA-3Q-A9WF-01A	TCGA-XU-A931-01A	TCGA-ZB-A963-01A	TCGA-XU-A92X-01A	TCGA-XU-A936-01A	TCGA-XM-A8R8-01A	TCGA-4V-A9QI-01A	TCGA-3G-AB19-01A	TCGA-X7-A8D8-01A	TCGA-XU-A930-01A	TCGA-3G-AB0O-01A	TCGA-ZT-A8OM-01A	TCGA-XU-AAXW-01A	TCGA-XM-AAZ3-01A	TCGA-5G-A9ZZ-01A	TCGA-4V-A9QU-01A	TCGA-XM-A8RL-01A	TCGA-5U-AB0F-01A	TCGA-X7-A8DD-01A	TCGA-XU-A933-01A	TCGA-X7-A8D6-11A	TCGA-ZB-A96R-01A	TCGA-4V-A9QM-01A
hsa-let-7a-1	15.724153051166482	15.397334825617827	14.810454492697202	13.944046614562087	15.0640549060561	14.30126991046864	15.221362049399795	15.097691783294225	15.035398597450259	14.192744314297476	15.042710351930904	14.756877743772328	14.062663450936045	14.278753116398764	14.582629797900704	15.492153579320327	14.14576068221319	15.125471664036988	14.213530908495486	15.007240394752968	14.477723429958658	14.086327869755145	13.693778660480936	14.53081622531995	13.618913225735914	13.948050164145286	15.180368402823182	14.840229086830423	15.478215994959879	13.758222271081413	14.339160534598198	14.847676297718047	15.107834045293869	15.074322678099756	14.830590723618991	13.544267173560966	13.683224679249424	14.342132026699264	13.653091839564986	14.465664779623438	15.434242839123007	14.870933807213143	15.546480731152755	15.782666752012467	15.25704784131343	14.09260790368988	14.156068507413398	14.582318263893388	14.092151660958182	14.931643671441705	15.154502311653927	15.50559555084868	15.24692630079963	15.740250332357402	15.29175083028674	14.170828038560206	14.27722187546758	14.751836988702198	15.424061364014907	13.729384673778188	13.913780693398165	14.85176600971881	14.102705299843045	15.342341095339739	14.38257647683219	15.12669627063724	13.881117400362719	15.268944214184128	14.637846881786443	14.38727472640959	14.309735893671649	15.450242311009982	14.815377097395482	14.85177782706182	14.207433611907344	15.335365672372804	14.19751890775476	14.783236575188138	14.76710725425998	15.944617725141768	15.249034998295691	13.736109585342398	14.739113351669378	13.725663411071965	14.608232866228914	15.955183491139495	15.043648562614946	13.859988552961457	15.031728378610426	14.518692720575231	13.506139405205026	14.847548860983082	13.175348750219722	14.909975049427569	15.50827736021291	14.374318159328864	15.11217526111553	14.857788604678177	14.591298549962048	15.595609850570614	15.305975937726155	14.494021120359815	15.151173279050946	14.224035961998599	14.72793334721022	13.742235428162264	14.511179670563656	13.88659184505284	13.017596545353873	14.155646826475238	13.545893622728665	15.709388917397096	14.730530267347913	14.413223805833766	14.403057054016742	14.141832105854414	15.538925324490787	14.439475635277146	15.390978710997551	13.999702803006224	14.431831382006491	14.495123457617227	14.8698953099446	14.710983092393091	14.74677404873321	14.818103199463954
hsa-let-7a-2	15.716491439904233	15.391310371475937	14.79823745353218	13.942007227945568	15.05414015040757	14.29852847374008	15.223015401652125	15.087715549651245	15.024279585030776	14.189612991300898	15.035948503479073	14.756782452513027	14.070072680907145	14.290436885390179	14.582490149631333	15.492766163255762	14.145901998845549	15.125231855616518	14.203910258361795	14.993441293786873	14.469052189048927	14.085894798447589	13.680430643505208	14.521714643224346	13.609722688514628	13.944109917553964	15.184910413744653	14.836631816363576	15.475559249883874	13.758916797708782	14.340188356385136	14.837411512831169	15.11395527196199	15.069646893470651	14.827836640841326	13.560480407798638	13.686575198507017	14.347359767175913	13.6640569109501	14.45972111558352	15.438102549808235	14.867064863673619	15.544569725177855	15.782829863192848	15.25497830040655	14.079845768095051	14.152989650718009	14.588864878709305	14.092507409206895	14.93408709065594	15.146988525130794	15.497187371560853	15.240762376810522	15.735811958155264	15.28589583381954	14.158244033705532	14.284228571012626	14.744460980077394	15.423790447766137	13.74191488305252	13.9108582864489	14.844665277184593	14.100129429614434	15.336952908147918	14.381613058282175	15.125581909705241	13.883317765752961	15.265967572888526	14.628596301410205	14.402847732717158	14.300597961789311	15.44559051415561	14.824560611918802	14.848150581748788	14.22342843260815	15.335053246316054	14.193995602362296	14.77671431538983	14.764433042270925	15.94337849149112	15.251096955142538	13.747451383710985	14.72428664412065	13.714390612965657	14.610373672250551	15.955160002036457	15.040238201429954	13.856354102169695	15.030936460874043	14.519936735208592	13.501635395338026	14.835928438279117	13.160051415401849	14.905408205258466	15.499779600797288	14.36870889120874	15.106986851636545	14.85769562722592	14.586937195081429	15.589353155682106	15.303908745908855	14.496283497445472	15.14724957703037	14.213345765988407	14.728859220727555	13.73958642334606	14.506526797677376	13.873346349407027	13.001024751104568	14.153151638728342	13.54566728918676	15.708947640656694	14.734180153006193	14.418690913717505	14.405065195709618	14.138320467506844	15.533775997846796	14.420662615095297	15.382600141365302	13.999865266033288	14.42598382376229	14.491353385969337	14.865566774256331	14.716010929176846	14.74772325079526	14.801580266965784
hsa-let-7a-3	15.720827297095415	15.399260771472022	14.8115655673198	13.940550462811293	15.062404381709792	14.29380442389247	15.221812261994298	15.092157029172455	15.039810154978014	14.192010786034617	15.040898023965582	14.75792553242623	14.075733566848053	14.287507346618103	14.591070821357796	15.490657781983595	14.159342130850076	15.136359021111785	14.221506671555145	15.002963045520236	14.469746817428362	14.09217191221087	13.696541033833505	14.542063033427805	13.627461468620547	13.951579939402734	15.181105120990093	14.847869912474097	15.480879649232858	13.759619453748016	14.351253964787599	14.837977801053944	15.105801083153429	15.070362548110941	14.828927623207418	13.552290825179561	13.68258048822325	14.344307658133552	13.651833365586416	14.46696206515738	15.433946501334944	14.869875372194015	15.548544439356794	15.784287258330915	15.259779018858625	14.08789209709052	14.145331000668962	14.588864878709305	14.097496419440489	14.93361770601018	15.14735387535675	15.503146361897583	15.247219542496069	15.737522588128437	15.295023322729932	14.1620207159354	14.279043340604787	14.756283483667508	15.431608766431662	13.728485480662476	13.909308163265992	14.856074211885858	14.10329262610373	15.338632576896455	14.390853665323231	15.137431169647403	13.87300865407123	15.269349962331155	14.636945904533704	14.400809599068374	14.30133172887672	15.449061981678383	14.832837015899699	14.855558741799747	14.21522852696305	15.33680086635618	14.20649204038155	14.790192143943663	14.76720084699553	15.94416140931922	15.254594567451829	13.756736783109261	14.742898829144119	13.731352332179407	14.615515312476568	15.959194514515866	15.04266715607049	13.866107108410095	15.029699427072039	14.514836089710958	13.513164722725813	14.844442018701393	13.173131365380339	14.909715671377057	15.505102342332327	14.368268532869376	15.110433834185095	14.85151287118595	14.588521951436887	15.593355720126786	15.30536726191175	14.493745258261116	15.153668611980367	14.23049680828724	14.726263526544802	13.748774990946156	14.507065998962709	13.888349895761728	13.030474894152137	14.154218950067182	13.551866038151505	15.709647415308847	14.726272187579815	14.418922113885419	14.414094845990364	14.140933244012647	15.541330008157988	14.433767133589482	15.38523560034462	13.988415688085142	14.440732523323987	14.505437817670444	14.879961877363948	14.71914537984354	14.750204731455225	14.824803283949718
hsa-let-7b	16.493219552239616	16.16470377587676	15.093402437263242	14.373375014011678	15.559009241309422	13.863443774643473	16.181178501448326	15.820602939816391	16.048593308864774	13.897349477136707	16.064455426969253	15.90130264227158	14.8473019216934	15.15486464929542	15.059640576378907	15.944437389881323	13.744164982081484	16.0225031919665	14.481929428080429	16.183046599727177	15.12938915413558	15.17711483864739	15.026239237191106	14.760735646771009	14.505111986815269	13.672152072237248	15.553269502207062	15.839469005823927	16.51665718656447	13.29626474550546	14.480791028386284	15.853177296487887	15.772342164478722	16.301661062001976	15.849578575818178	13.358605077316009	13.045268198924871	13.727550289982421	12.394695265421541	14.15825829861554	16.078986511638853	15.325603845923753	16.71730533103528	16.822486318378257	15.68619546765702	14.498374992847772	13.710568071169114	14.142572471209267	14.019533926855726	15.105524714473251	15.651573378280423	16.185051520895204	16.29788244755897	16.540227962735905	16.609946692853892	14.343036243693634	14.886988147452785	16.230009059834703	16.699721629651666	12.805550059853708	13.481594702244877	15.92838497850858	13.814121091001592	16.10382739741096	15.252241449184373	16.289051045312927	12.793281124380753	16.575183871877357	15.121865679422337	14.602464696261574	13.5338620438052	16.762853895171904	16.002731475358377	14.77090630596204	14.042206305452975	16.184343590110245	14.576489246589984	15.697271755551363	15.216739803030876	16.59650774156026	15.347965514501357	14.188488314747662	15.412123127853057	13.880817495875975	14.362362147591824	16.927231475396166	14.947338902346939	13.925859601759173	16.031227230775038	13.63306023948728	13.856268801333298	15.601978410815358	13.751150291557895	16.060686390285802	16.156920108437696	13.637320455762703	15.620790674957027	14.115977966771851	15.493314681399227	16.499176186696236	15.47246741637132	14.599399987989784	16.720666189906005	14.204310595062552	14.183850154308137	14.333613358999454	15.251445622722098	12.900741697995594	14.080894651117896	14.221797996995658	13.933771923746267	16.48227938424204	14.866290326163998	14.135596104563271	14.796494204662217	13.82501290976769	16.873287979539967	15.359728043597782	15.83655850221429	13.127079553019886	14.442075525118085	15.172337033108613	15.24301612694798	15.31411615895419	14.34637906564792	16.608048972470396
hsa-let-7c	13.58634552455762	13.583539358421806	13.293255364736805	13.424717285347837	13.269474284393999	12.102435420630359	13.393458230742162	13.279308087253423	13.083854953390912	14.182486043336203	13.343977929662355	14.069971183532857	13.072740675658853	12.120598386154906	12.5947988047461	13.70761110239169	12.896430550574173	13.521897641581726	11.508091514507425	13.86254621976229	12.468759127115975	12.876902174705078	15.139670411233988	13.977867582517057	12.491807315583483	14.056184076396162	12.932662719331518	13.41536587588009	13.66264271038083	10.702305866988395	12.609137016913227	12.953288893119941	11.087443121410328	14.039952451468714	13.417918860194966	13.084258224546168	11.85874738961358	12.301838818088076	12.382952247745973	12.570493072007464	13.382009910138313	13.142820020902793	13.274238221495224	13.809652375518516	13.143669018038935	12.209940631871474	8.917339561032685	12.884559762775131	12.26099662907307	13.45847233562441	13.106483027974958	13.160489753567012	13.284417861642574	13.775879891606385	14.259304315866258	13.53212477187839	11.66593379570691	13.325225011634883	13.873435522552027	10.254418584646558	12.286787036028596	13.120943683690609	12.152855563454802	13.737533174020927	13.84253900971648	13.220595644778985	12.51489095562069	13.761785280964197	12.609242638326753	13.475910359723724	12.442651105159555	13.92170108611054	13.341959389920275	12.915633100152334	12.901635804303679	13.331079546110736	12.27964822207676	12.616979913622739	14.098900986268385	13.958875560980115	13.928009845472314	12.796685682793118	12.566195960121464	11.963607290040018	12.74828160363908	14.478590858915453	12.665270026536536	11.592935252053554	13.652030044368384	12.825140691948715	11.806268474871912	12.626877554499513	9.683522036247831	13.149083165422827	13.79770754415355	12.463112457989078	10.310574890537465	13.30688578827796	12.835863728253148	13.875204754402034	13.641502657113366	12.661415562850971	13.350405907900154	12.200217545262126	12.737862027708564	11.23113769342235	12.980767002280686	13.075422156058492	11.510811239648985	12.134136202494739	7.995564984193125	13.702064326109177	12.546199537967203	11.855871261914599	12.856034768564857	12.380838422537058	13.774664013856393	12.820256043599892	13.394473170858808	9.259942165382247	9.7361088027372	12.223803252892951	10.351766337718466	13.751523328881062	13.433465138917807	13.621559190712308
hsa-let-7d	9.182813235336003	9.987784017725541	10.177702928716032	9.769281690708793	9.9153480018193	10.690212317098217	10.008840440116252	10.028709153730603	10.221800122966902	9.616590879808196	10.252437439056077	10.743206298808811	9.547136569317452	10.229231769920418	10.062007924015068	10.180632026161883	10.482536069292147	10.309063407705006	9.459980930845642	10.141205764260896	10.543452313277092	10.232419695548113	9.543772465614776	9.946008004175862	9.900785174182866	11.059308757398663	9.71653849675884	10.407592446701807	9.79892308587732	9.323869221753375	10.444675621555575	10.310566935036217	10.213794305753652	10.221087501000898	9.654138970268232	10.46892167980607	10.488361915727321	10.743772310389835	10.132432518395435	8.930549671530304	9.096476292928699	10.371765256257179	9.327404399268888	9.071243246664478	10.009746710265054	9.568251911612021	10.723593114819531	10.839324120539807	10.214354331602317	10.61518836318619	10.270205291314888	9.291637403027911	9.831453070571087	9.785593260150485	10.380241890834728	10.906823215668249	10.198121113299587	10.505971732795691	9.903354344881556	10.410739361429926	10.249078595263065	10.251883656006173	10.108998829430474	10.44144459786131	10.428587535251937	10.473093816721036	10.492196449949773	10.380189545546404	9.35112548264533	10.261988520231968	10.42782389826026	10.509647858502762	10.274763744523034	11.971759629848204	11.02243076101757	10.206326425187923	9.61583112022499	10.353802827933391	10.088127953314354	9.633188703353122	11.075492158420468	10.821093813331132	10.406284235587085	10.413042500208965	10.351456932195802	9.680912527977872	10.572833185122104	10.65176436258775	9.597732163962904	10.09881401576353	9.912531174159259	9.205080149737809	10.015110519596066	10.24546115995385	10.154626167223006	10.468429859591556	10.3319870056543	10.228116112110195	10.605039679977482	10.035325853006354	10.37011648458902	10.479241329915348	9.84696284412144	10.311111355656728	10.833874890723191	10.37762276227334	10.151255180502085	7.867549823514554	9.244783425897625	10.45011286276097	10.496216160986965	10.058268194320016	10.537286711405287	10.119831779959528	10.183227670102328	10.271717793990144	9.3662736732988	9.617227570438477	10.205259311905833	10.529511376968422	10.791648784896438	10.153500430688231	9.4433300718129	9.705020038121443	10.192181057998019	10.295121429950628
hsa-let-7e	11.467406872915262	11.21789305919634	10.62019515282821	9.708617277794106	10.214578692690598	9.709776789528803	9.723631095414802	10.353462623127744	10.455250574580798	11.588068094496595	10.553545546062136	10.623895011787642	10.344406626072558	9.705214126591855	9.996226110646298	10.620330815265142	9.573890827130723	10.377242270415033	9.739692477819066	10.232097528167435	9.989463757479225	10.066068753030466	7.687517436790265	9.971485603578135	10.201540634281503	11.186435181196718	11.05013935112823	10.701153006500192	11.009850837639183	10.346649599387863	10.583474526392662	10.202137601624782	10.548856000153243	10.398804433464017	10.463781056152762	10.610252233922377	8.910061455351926	10.359986931102263	10.350651035747632	10.691683931320984	11.160339910197456	10.755537638753752	10.565619019069624	11.37753953310241	10.618230451932908	9.29283476591632	8.79469994857319	9.731843338415532	9.645727937656146	10.51500190274157	10.413798473208995	10.88880633042507	10.65905716479238	11.344929071017322	11.387711709555393	10.828382215811255	8.04980079817653	10.073255375940903	10.91630432808053	10.015407483445024	10.188131959499625	10.103356580045462	9.492712201824546	10.755507746886401	11.317392163756919	10.187766233022916	10.115546724775248	10.659020713909884	10.484792312427505	10.439619507961197	10.012989211105916	10.99895106406847	10.041616273939178	11.743770138863312	9.746213954019314	10.651335239019383	10.95535113774659	9.473954794913146	11.008014677995558	11.511223839267734	11.933336218469883	9.303190727345957	9.622652754358551	8.762289699950529	10.194177109369951	11.74390834735999	10.22420989941346	9.595514603305514	10.757870797587625	10.359420274265883	9.508082942317397	10.67665973469044	9.413858710040435	10.954654872727719	11.019859328165527	9.478308694261148	11.151091419419643	11.139051979668816	9.473974930182928	11.53318087782715	11.243810269843467	10.220489942987712	10.903427363621248	10.155360464226947	10.67298353927144	9.826141143315343	9.712354568303507	9.519542867748145	8.57296485860528	10.289214908171626	10.428108100972326	11.450630559149278	10.354849093288607	10.079029186937575	10.480513789987638	9.879910675130033	10.899860114415212	8.634047047048577	10.79349972899786	8.98114408637427	11.232147609515474	9.96662573059941	11.259324981536231	12.043025943460142	9.529320955918063	10.415144981691038
hsa-let-7f-1	13.424865967051293	13.348058234734264	13.40035757449308	12.54332032799646	13.701976853609317	13.70179883256715	13.023510386245524	13.65845365920649	13.262737168062099	13.846049676409095	13.462916399934029	13.091854773901568	12.450596145891351	12.843713367140328	13.189631005825124	13.812314582489178	13.55613536758531	13.215637204308205	12.755167067787216	12.635167247525267	13.262374305220973	12.856784076269426	11.988683764852821	13.711575163255876	11.815756929860981	13.043980616461003	13.794242923984775	12.86841905640105	13.223835605435163	12.863837959004957	13.781206034443834	13.169777054684937	13.574787978053603	12.935892278207165	12.600697629326216	12.640659694359156	12.980923521142357	13.542581507536626	13.294888618190553	13.914327552804412	13.115276282566672	14.000146593139245	13.425172402633848	13.198269267515018	14.161983565172395	13.234178986361126	13.53607079778723	13.786130215092252	13.169078849404062	14.017170002036107	13.764347329456244	12.90253071345582	13.092891869068035	13.679071433227733	13.105956572949337	13.44569544034137	12.709988026098252	12.794546817881033	13.004758898989914	13.283401223845665	13.369363767938761	13.125664906959074	13.3097877696939	13.927438383509681	12.80962300115901	13.3546370299059	12.956696066267885	12.820920879619937	13.597398984787407	13.361169037215717	13.61572267285647	12.990065262902089	12.874446147579333	14.227704972413337	13.05988917918445	13.746505252936078	12.729855126984301	12.925376326878371	13.588122731912833	13.705013371235253	14.195306545365813	12.760315617103029	13.41681907855976	12.877001528980035	13.80624636246161	13.81772026406058	14.190613242540605	13.065723389099126	12.905364351030457	13.996830629211711	12.668432026779524	12.411371067083776	12.460784101789613	13.272491607361705	13.67849500767019	13.54359067715804	13.333144127301791	14.19251068072986	12.659725207238854	13.53800625705566	14.196702644350452	13.951227829946609	13.228744392042342	13.40224947056376	13.949417315493205	12.42891682257084	13.081774519054646	11.58527195895918	11.82175709955007	13.330556555738827	12.791001827739905	13.651909748555049	13.601188943309689	13.899968826768164	13.192546509815626	13.249707769243296	12.820067500741228	13.321717962745984	13.903974048208324	13.559537615956678	13.703726403637342	13.180165506581003	13.2941635474458	12.958909592046883	14.570897530167295	12.418248073102694
hsa-let-7f-2	13.452181802564949	13.36738271659043	13.433600341098582	12.566234268152634	13.723659404347135	13.724954485353248	13.078626917287975	13.696179258095471	13.292035407337375	13.852828017495805	13.480903247320244	13.102992200736473	12.436391021095776	12.861317423070984	13.199066356207423	13.829590601058442	13.579922812543224	13.23747834445099	12.777305774726411	12.665068675153645	13.303004256752	12.888395156158515	11.980817828740957	13.722738154437232	11.8867705161979	13.079537998391997	13.827022208909959	12.90373409068678	13.25772611811215	12.892588262723823	13.82956661920838	13.215955366816857	13.608742564414124	12.962777314935783	12.623597842274416	12.682903409099676	13.024236113594583	13.571420589812314	13.311032340852723	13.938276456012515	13.135733115542788	14.02574439042643	13.462957716833579	13.218881671888425	14.186646656280308	13.271289225354515	13.56493342923738	13.8271973213653	13.18304345458171	14.040413900572014	13.797967871400557	12.949314587856913	13.128054791709234	13.691120021250091	13.1397943128637	13.4535510176201	12.741455924081588	12.852270145857975	13.041718593144045	13.312316983872908	13.394177806562384	13.162171704365953	13.347388070318868	13.954057771561791	12.852240289893267	13.401202898237706	12.991658304861541	12.853684885493514	13.617001926698617	13.388678930788089	13.640029302848594	13.029250608798026	12.912400621145522	14.242318470828643	13.06981377391504	13.778122945877518	12.747125323611428	12.97157958189974	13.61716924922255	13.717008091446754	14.20883732274973	12.771989144324403	13.446321327165137	12.891133298477767	13.840008673988017	13.850288466890898	14.239515134530974	13.097053756119914	12.936528950684645	14.032587773815827	12.716110465911889	12.448551208017664	12.480802468494634	13.29375631290886	13.709615510137725	13.571785378422941	13.374472170400306	14.217582836905082	12.719021812886586	13.566153028183408	14.226633993186514	13.968089686786126	13.245703918826464	13.434595247240699	14.004122044942854	12.461382726945217	13.095829257682555	11.617488431513891	11.826654991353754	13.341778755822508	12.820778357666887	13.671334988084457	13.634885260518631	13.930789302749961	13.210018200835913	13.265624038542574	12.848202148629053	13.346069600201139	13.93775367221213	13.591238127404857	13.72712230501171	13.217239962091972	13.332719472581742	12.976967958853175	14.581176624465913	12.434995037293753
hsa-let-7g	9.956618916188647	10.472544679014042	10.50029080121858	9.438321871134631	11.200730879845556	10.817426991912685	10.844914260749553	11.045520916547003	10.932409120250634	9.864604005952804	10.747764602535325	10.840508834303149	10.897361097974045	10.000628728675991	10.850083109145189	11.016508340261927	10.988025024131765	10.780142806052046	10.078974522234029	10.29633489813411	11.121350904493475	11.376976291461036	10.452649690820104	10.910211600020771	9.213550119729154	9.788999434290272	10.534210295040198	10.55480334357329	10.543253774189967	9.956142212578778	11.205380584488617	10.660154828009142	10.636317154181553	10.49012440669184	10.431056916372523	10.064491693761761	10.75278455298236	10.975564439111166	10.277168710621233	10.192221766772507	10.061390998694709	10.47699944707921	10.331857821064787	9.960270535140499	11.09517492495103	10.974391083436679	11.042583930675407	11.534849072600734	10.90285142068814	10.901238031597876	10.93657085285949	9.88860982996187	10.174558773225634	10.864063737158595	10.680361484909477	11.14215183569127	10.799238408029336	10.549970965691186	10.568134572698655	10.230529828534292	9.92427746584944	10.605998409738216	10.837036476479438	11.25500789202546	10.380163276387409	11.306062716749919	9.57919341833771	10.867674500545784	10.74297046510612	10.526390259216697	10.742061482623667	10.691091564183452	10.528732331654325	11.564130686229609	10.762449122054845	10.677996049798832	9.886200815115886	10.62591719518519	10.063729234129951	10.677959011393718	11.226317860570827	10.604618699262648	10.675798975102083	10.642838367439328	10.824439583905479	10.7386008542666	10.726618649196016	10.967424645309029	10.52106040562725	10.700579178567944	10.456703139607198	9.619675727899047	10.874033157064137	11.226710865977697	10.916769363598908	10.804164482767323	10.218603729159765	11.25029191095799	10.873620954863325	10.786036732056674	11.17749247883149	10.990944629928904	10.76146167370525	11.097060357355492	10.681093401337993	10.448883069072034	10.080835564513908	9.974329940130541	11.02327596653832	10.896888155293487	10.32156723962153	10.660288847475634	10.411164324582327	10.922410180636225	10.591325330913966	10.96146401998495	10.201183648269584	10.853627895000749	10.991301858700368	10.932505997086201	10.823550839969883	10.543031572715048	10.343803036841146	9.872566530189172	10.650588062983203	10.89501996512431
