miRNA_ID	TCGA-N6-A4V9-01A	TCGA-QM-A5NM-01A	TCGA-N8-A4PM-01A	TCGA-NG-A4VU-01A	TCGA-NG-A4VW-01A	TCGA-N8-A4PN-01A	TCGA-N5-A4RA-01A	TCGA-N6-A4VD-01A	TCGA-N7-A4Y8-01A	TCGA-NA-A4QY-01A	TCGA-N5-A59F-01A	TCGA-N6-A4VF-01A	TCGA-N9-A4PZ-01A	TCGA-N8-A4PQ-01A	TCGA-NF-A5CP-01A	TCGA-N6-A4VC-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4R8-01A	TCGA-ND-A4WA-01A	TCGA-N5-A4RU-01A	TCGA-N9-A4Q3-01A	TCGA-NA-A4R1-01A	TCGA-N7-A4Y5-01A	TCGA-N5-A4RV-01A	TCGA-QN-A5NN-01A	TCGA-N9-A4Q1-01A	TCGA-NA-A4QV-01A	TCGA-N6-A4VE-01A	TCGA-N5-A59E-01A	TCGA-NA-A4QW-01A	TCGA-N5-A4RM-01A	TCGA-NF-A4X2-01A	TCGA-N5-A4RN-01A	TCGA-N5-A4RS-01A	TCGA-N8-A4PI-01A	TCGA-N9-A4Q4-01A	TCGA-N5-A4RJ-01A	TCGA-N5-A4RD-01A	TCGA-NA-A5I1-01A	TCGA-NA-A4R0-01A	TCGA-N5-A4RT-01A	TCGA-N7-A4Y0-01A	TCGA-N8-A4PL-01A	TCGA-NF-A4WU-01A	TCGA-N6-A4VG-01A	TCGA-N8-A4PO-01A	TCGA-N8-A4PP-01A	TCGA-ND-A4WF-01A	TCGA-NA-A4QX-01A	TCGA-N9-A4Q7-01A	TCGA-N8-A56S-01A	TCGA-N5-A4RO-01A	TCGA-NF-A4WX-01A	TCGA-N7-A59B-01A	TCGA-ND-A4W6-01A	TCGA-N9-A4Q8-01A	TCGA-ND-A4WC-01A
hsa-mir-30c-1	8.471125406254025	8.789447334991754	9.791029561740814	9.384967986779486	9.289540262951126	8.73979361928041	8.776412742449564	9.730371899808759	7.7078368128438575	9.021702566163205	9.641113186356607	8.937022516126385	8.810490590918487	9.443758576883072	8.727164658708109	9.605388245730385	9.875994576449724	9.95278513152611	9.250091713937211	10.090688048666625	9.949091014228294	8.207853114526129	9.354719092827136	8.394807575401654	8.073775041275429	9.631177505067937	9.538415175852027	9.357021650743027	9.81967543782297	9.656815973689055	9.202856639435492	8.078588140954379	9.827289155990188	9.503585131644105	9.46773280321456	9.047459320173067	9.740261419554303	8.994536234540993	9.44649220166521	9.278847457050295	8.900889706810055	8.349908751481141	9.715059584530357	9.259788000664406	9.944211743400306	10.094762966708727	9.828242350953696	9.127480147740016	9.535712761891864	9.871817794140409	9.982412904253078	9.955978922160108	9.250204476212156	9.63391791430768	9.627267907971536	9.299108656787265	8.625729917215319
hsa-mir-30c-2	8.394043450403176	8.888030710333055	9.877734972384097	9.414876867940714	9.369085732399164	8.724705323221478	8.83689778574282	9.899758502751919	7.810216655961662	9.046583411133316	9.708382375060655	9.037351258531391	8.902026500966773	9.55400516923246	8.744961626371882	9.677926446576253	9.874185212068653	10.11828082641058	9.342489844340573	10.08108078011415	9.99713160440711	8.18904918853582	9.392064078744127	8.530234014980024	8.089553127964026	9.65251141202539	9.541926363992095	9.505754674496751	9.979816727789304	9.740267977819212	9.2644872597438	8.0493662167098	9.889719151527322	9.540647826728662	9.495722684519276	9.058474936545208	9.808592263895424	9.161120507698563	9.439360395209821	9.41106938160166	9.081873215349924	8.519342357330313	9.8567359034475	9.258401503099078	10.241635779344717	10.204879286893876	9.865660163172928	9.22352903695992	9.600935971048441	9.998918723268394	10.142514208818803	10.100564722535857	9.30474281677239	9.641211865022	9.747916874217648	9.309019794250924	8.896479072973163
hsa-mir-30d	12.389465783597693	12.943509033386944	12.521328430490826	13.466908021190369	13.346958570482068	12.040028141360587	12.474292003843301	13.476581628607489	10.148472986240519	12.515626260438914	13.107328064992988	12.172706361896868	12.718446315408876	13.173265852608354	14.436163817526948	12.546866619751514	12.64669885356581	13.557709917732192	12.034065022460764	14.195684334929666	12.175475890535237	12.136275090864073	13.850172646646103	11.674360018927459	13.453609451721466	12.835577824454345	11.748327273147432	12.952909292446044	12.227199915891008	12.555128410082201	12.718861535504676	11.520904142903179	11.510381733830405	12.38119129088688	13.232188241007853	11.912731033668516	12.636558541875715	12.534778678844152	13.151105311391596	11.896889616347929	11.5597988369577	11.985176747146557	12.931212314748924	12.479317401657132	12.762767157601644	13.20050330745158	12.76515865910866	13.081302156100588	12.649778533705113	12.166339586026428	12.491254493917657	12.219301305231383	13.016260257155457	11.907868487995374	12.960423553483961	13.709625362195391	11.92506763101476
hsa-mir-30e	13.379811640966421	13.468543425753158	14.683889323098906	14.463680603601514	13.960088833992417	14.091701855653646	13.58006014441631	14.550597092115968	13.070879354579162	14.132644560907785	14.068913866561255	13.73550926978653	13.570516759745642	13.862068852577183	13.779124461371929	14.228743927951463	14.457673747989984	14.405818899740533	14.061008180920686	14.856505600793003	14.769660703361376	13.689858381301425	14.434775526746787	13.577492348651067	12.827540558038136	14.567221090581178	14.655171039906094	14.41219239435102	14.138963234391378	14.431130379492927	14.377655149767794	13.725419551199474	14.787859946524147	14.089440320226624	14.39039092958934	14.258807851193872	14.280657837422583	13.726815105675968	14.028543850027585	13.811508461848108	14.328235924993084	13.787488874297457	14.070835873576328	14.361216316869845	13.337480718065256	14.422228400255827	15.03587725023578	14.20717376006423	14.029297079454533	14.63724291836011	14.232654485153962	14.910090339475872	14.455157467459003	15.150070136700275	14.010020128545115	14.193082682670529	13.57401925283109
hsa-mir-31	5.414244204699901	0.9078043977244762	5.613853424069387	0.6631660648425055	2.209449310480433	0.7096320772612739	2.020180005903766	1.3900799234734984	4.496060586294487	1.705045873958972	3.120939947695921	1.3958437279462266	5.727610160100792	4.3821259676728825	5.887269315887227	6.062396876462182	4.92806369997386	2.1863985004752147	3.105039383086315	6.074963227587723	2.8781418686406495	1.4338493290203729	0.40483883143213784	1.9907824525750821	4.908603644151501	2.380619192250179	5.8932867245768055	5.342073636549619	4.934137850601559	3.2062349860467956	0.9830939325977898	6.769131110244453	2.2858623282104698	4.772736475366222	4.554222483404659	4.700952227742863	3.308320971307385	5.345255633369717	3.357061264098888	5.187841843176489	6.67870649498821	1.8242171414989639	2.205879168429185	5.345173651734208	3.487607897973957	3.813746617417607	3.900481297337807	5.793731788759517	1.9407132732951828	4.510075148663899	4.046769461948335	6.6620579320956805	3.1903471546067674	8.144108134695978	3.071033931147741	6.2802080371633675	7.824311300797067
hsa-mir-3115	0.0	0.0	0.0	0.36935703848235263	0.0	0.0	0.0	0.0	0.2626532435464234	0.6462529956163401	0.6576089103361888	0.0	0.0	0.0	0.0	0.0	0.477760208921177	0.37403566176276337	0.19006865013590712	0.27841659878241193	0.0	0.0	0.40483883143213784	0.3452953093888051	0.2600509556109029	0.0	0.0	0.0	0.7985059652709582	0.0	0.0	0.0	0.0	0.24077591789656283	1.0872605102996564	0.2931444383876855	0.0	0.0	0.0	0.26474058567474923	0.5177100743157421	0.0	0.5377373822544478	0.2585623405859007	0.4148510188932545	0.23163147188310695	0.4834675540928067	0.0	0.33123169179481	1.1900009916710463	0.0	1.1427846022574604	0.0	0.0	0.44483560109120185	0.0	0.0
hsa-mir-3116-1	0.0	0.17014299222293583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2501806095841333	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-3116-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4470575633716249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23163147188310695	0.0	0.0	0.0	0.0	0.2501806095841333	0.0	0.0	0.0	0.0	0.0	0.0
hsa-mir-3117	0.2691995556216011	1.7562649921342397	1.825342780320741	0.0	0.6020339773327198	0.0	0.3685783980327199	0.0	0.6772132460869086	0.8856899315239006	0.0	0.0	0.814721034876317	0.6481939054897669	0.4100740347640771	0.6395757755270444	0.0	0.37403566176276337	0.19006865013590712	2.139408917602115	1.6775208707240719	0.1913175485873487	0.40483883143213784	0.3452953093888051	0.48030959153881364	1.0927595084174642	0.0	0.0	1.8429981346172302	0.9368742154355494	0.0	0.0	0.7696261931707344	1.2945631134518665	1.8577039710845622	0.0	0.3037772418760339	1.3326157127669802	0.0	0.0	0.0	1.8242171414989639	0.0	0.2585623405859007	0.2893706039875888	0.0	0.0	0.7279727172859651	0.6004343788403064	1.6488708132900844	1.4352039898919084	1.1427846022574604	0.0	2.852716409402457	1.0589924814273564	0.3118018537752486	0.0
hsa-mir-3118-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
